Source,Type,Target,Frequency,Architecture,Step,Step scope,Configuration,main,Baseline,MUL,tool,flow,Frontend,ISA,Pipeline,BitManip,MicroArch,PMP,MulDiv,RegisterFile,Shifter,Fmax,LUT_count,LUT_percent,Reg_count,Reg_percent,LUT+Reg_count,BRAM_count,BRAM_percent,DSP_count,DSP_percent,Static_Power,Dynamic_Power,Total_Power,Worst_Slack,Timestamp,_step_index,_last_step
vivado,Fmax,xc7a100t-csg324-1,fmax,AsteRISC,pnr,last,AsteRISC+Pipeline_P-IF1ID1EX1MA1WB1+Baseline_I+MUL_Fast,AsteRISC,I,Fast,vivado,standard,,,P-IF1ID1EX1MA1WB1,,,,,,,76.0,2551,4.02,1506,1.19,4057,32,23.7,1,0.42,0.093,0.012,0.105,0.128,2026-09-10_09-50-41,1.0,True
vivado,Fmax,xc7a100t-csg324-1,fmax,AsteRISC,pnr,last,AsteRISC+Pipeline_P-IF1ID1EX1MA1WB1+Baseline_I+MUL_Off,AsteRISC,I,Off,vivado,standard,,,P-IF1ID1EX1MA1WB1,,,,,,,81.0,2008,3.17,1296,1.02,3304,32,23.7,0,0.0,0.093,0.011,0.104,0.049,2026-09-10_09-50-41,1.0,True
vivado,Fmax,xc7a100t-csg324-1,fmax,AsteRISC,pnr,last,AsteRISC+Pipeline_P-IF1ID1EX1MA1WB1+Baseline_I+MUL_Single_cycle,AsteRISC,I,Single_cycle,vivado,standard,,,P-IF1ID1EX1MA1WB1,,,,,,,67.0,2558,4.03,1505,1.19,4063,32,23.7,4,1.67,0.093,0.009,0.102,0.177,2026-09-10_09-50-41,1.0,True
vivado,Fmax,xc7a100t-csg324-1,fmax,AsteRISC,pnr,last,AsteRISC+Pipeline_P-IF1ID1EX2MA1WB1,AsteRISC,,,vivado,standard,,,P-IF1ID1EX2MA1WB1,,,,,,,77.0,2031,3.2,1440,1.14,3471,32,23.7,0,0.0,0.093,0.01,0.103,0.083,2026-09-10_09-50-41,1.0,True
vivado,Fmax,xc7a100t-csg324-1,fmax,AsteRISC,pnr,last,AsteRISC+Pipeline_P-IF1ID1RF1EX3MA2WB1,AsteRISC,,,vivado,standard,,,P-IF1ID1RF1EX3MA2WB1,,,,,,,75.0,2223,3.51,1927,1.52,4150,32,23.7,0,0.0,0.093,0.012,0.105,0.127,2026-09-10_09-50-41,1.0,True
vivado,Fmax,xc7a100t-csg324-1,fmax,AsteRISC,pnr,last,AsteRISC+Pipeline_P-IF1MA1,AsteRISC,,,vivado,standard,,,P-IF1MA1,,,,,,,70.0,1882,2.97,978,0.77,2860,32,23.7,0,0.0,0.093,0.007,0.1,0.083,2026-09-10_09-50-41,1.0,True
vivado,Fmax,xc7a100t-csg324-1,fmax,AsteRISC,pnr,last,AsteRISC+Pipeline_P-IF3ID1EX1MA1WB1,AsteRISC,,,vivado,standard,,,P-IF3ID1EX1MA1WB1,,,,,,,79.0,1924,3.03,1490,1.18,3414,32,23.7,0,0.0,0.093,0.01,0.103,0.071,2026-09-10_09-50-41,1.0,True
vivado,Fmax,xc7a100t-csg324-1,fmax,CV32E40P,pnr,last,P,P,,,vivado,standard,,,,,,,,,,48.0,7431,11.72,3235,2.55,10666,32,23.7,7,2.92,0.093,0.013,0.106,0.476,2026-09-10_10-38-12,1.0,True
vivado,Fmax,xc7a100t-csg324-1,fmax,CV32E40P,pnr,last,P_F0,P_F0,,,vivado,standard,,,,,,,,,,22.0,13808,21.78,4764,3.76,18572,32,23.7,9,3.75,0.093,0.009,0.102,0.184,2026-09-10_10-38-12,1.0,True
vivado,Fmax,xc7a100t-csg324-1,fmax,CV32E40P,pnr,last,P_F1,P_F1,,,vivado,standard,,,,,,,,,,24.0,13733,21.66,4887,3.85,18620,32,23.7,9,3.75,0.093,0.01,0.103,0.668,2026-09-10_10-38-12,1.0,True
vivado,Fmax,xc7a100t-csg324-1,fmax,CV32E40P,pnr,last,P_F2,P_F2,,,vivado,standard,,,,,,,,,,23.0,13695,21.6,5027,3.96,18722,32,23.7,9,3.75,0.093,0.027,0.12,0.825,2026-09-10_10-38-12,1.0,True
vivado,Fmax,xc7a100t-csg324-1,fmax,CV32E40P,pnr,last,P_Z0,P_Z0,,,vivado,standard,,,,,,,,,,22.0,13808,21.78,4764,3.76,18572,32,23.7,9,3.75,0.093,0.009,0.102,0.184,2026-09-10_10-38-12,1.0,True
vivado,Fmax,xc7a100t-csg324-1,fmax,CV32E40P,pnr,last,P_Z1,P_Z1,,,vivado,standard,,,,,,,,,,24.0,12047,19.0,3845,3.03,15892,32,23.7,9,3.75,0.093,0.026,0.119,0.07,2026-09-10_10-38-12,1.0,True
vivado,Fmax,xc7a100t-csg324-1,fmax,CV32E40P,pnr,last,P_Z2,P_Z2,,,vivado,standard,,,,,,,,,,23.0,12066,19.03,3924,3.09,15990,32,23.7,9,3.75,0.093,0.009,0.102,0.525,2026-09-10_10-38-12,1.0,True
vivado,Fmax,xc7a100t-csg324-1,fmax,NEORV32,pnr,last,NEORV32+BitManip_B_full,NEORV32,,,vivado,standard,,,,B_full,,,,,,164.0,1771,2.79,1419,1.12,3190,32,23.7,0,0.0,0.093,0.018,0.111,0.012,2026-09-10_18-21-51,1.0,True
vivado,Fmax,xc7a100t-csg324-1,fmax,NEORV32,pnr,last,NEORV32+BitManip_Basic,NEORV32,,,vivado,standard,,,,Basic,,,,,,166.0,1715,2.71,1347,1.06,3062,32,23.7,0,0.0,0.093,0.021,0.114,0.159,2026-09-10_18-21-51,1.0,True
vivado,Fmax,xc7a100t-csg324-1,fmax,NEORV32,pnr,last,NEORV32+ISA_E,NEORV32,,,vivado,standard,,E,,,,,,,,165.0,1343,2.12,1191,0.94,2534,32,23.7,0,0.0,0.093,0.013,0.106,0.066,2026-09-10_18-21-51,1.0,True
vivado,Fmax,xc7a100t-csg324-1,fmax,NEORV32,pnr,last,NEORV32+ISA_I,NEORV32,,,vivado,standard,,I,,,,,,,,162.0,1320,2.08,1191,0.94,2511,32,23.7,0,0.0,0.093,0.017,0.11,0.152,2026-09-10_18-21-51,1.0,True
