Source,Type,Target,Frequency,Architecture,Step,Step scope,Configuration,main,Baseline,MUL,tool,flow,Frontend,ISA,Pipeline,Cache,LoadBuff,PMP,SB,BitManip,MicroArch,MulDiv,RegisterFile,Shifter,Fmax,LUT_count,LUT_percent,Reg_count,Reg_percent,LUT+Reg_count,BRAM_count,BRAM_percent,DSP_count,DSP_percent,Static_Power,Dynamic_Power,Total_Power,Worst_Slack,Timestamp,_step_index,_last_step
vivado,Fmax,xc7a100t-csg324-1,fmax,PICORV32,pnr,last,PICORV32+ISA_IC+RegisterFile_SinglePort,PICORV32,,,vivado,standard,,IC,,,,,,,,,SinglePort,,118.0,1405,2.22,985,0.78,2390,32,23.7,0,0.0,0.093,0.019,0.112,0.169,2026-09-10_18-15-16,1.0,True
vivado,Fmax,xc7a100t-csg324-1,fmax,PICORV32,pnr,last,PICORV32+ISA_IC+Shifter_barrel_shifter,PICORV32,,,vivado,standard,,IC,,,,,,,,,,barrel_shifter,118.0,1544,2.44,978,0.77,2522,32,23.7,0,0.0,0.093,0.018,0.111,0.018,2026-09-10_18-15-16,1.0,True
vivado,Fmax,xc7a100t-csg324-1,fmax,PICORV32,pnr,last,PICORV32+ISA_IC+Shifter_shift_2stage,PICORV32,,,vivado,standard,,IC,,,,,,,,,,shift_2stage,117.0,1441,2.27,985,0.78,2426,32,23.7,0,0.0,0.093,0.02,0.113,0.057,2026-09-10_18-15-16,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,AUBRAC,pnr,last,AUBRAC+Frontend_FE_base,AUBRAC,,,vivado,standard,FE_base,,,,,,,,,,,,218.0,2172,1.07,1783,0.44,3955,32,7.19,0,0.0,0.16,0.033,0.193,0.118,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,AUBRAC,pnr,last,AUBRAC+Frontend_FE_buf4,AUBRAC,,,vivado,standard,FE_buf4,,,,,,,,,,,,224.0,2227,1.09,1911,0.47,4138,32,7.19,0,0.0,0.16,0.038,0.198,0.023,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,AUBRAC,pnr,last,AUBRAC+Frontend_FE_if1,AUBRAC,,,vivado,standard,FE_if1,,,,,,,,,,,,224.0,2198,1.08,1851,0.45,4049,32,7.19,0,0.0,0.16,0.036,0.196,0.032,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,AUBRAC,pnr,last,AUBRAC+Frontend_FE_if1_buf4,AUBRAC,,,vivado,standard,FE_if1_buf4,,,,,,,,,,,,221.0,2213,1.09,1977,0.49,4190,32,7.19,0,0.0,0.16,0.038,0.198,0.093,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,AUBRAC,pnr,last,AUBRAC+Frontend_FE_nobuf,AUBRAC,,,vivado,standard,FE_nobuf,,,,,,,,,,,,216.0,2114,1.04,1713,0.42,3827,32,7.19,0,0.0,0.16,0.032,0.192,0.162,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,AUBRAC,pnr,last,AUBRAC+ISA_CSR,AUBRAC,,,vivado,standard,,CSR,,,,,,,,,,,219.0,1988,0.98,1650,0.4,3638,32,7.19,0,0.0,0.16,0.039,0.199,0.112,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,AUBRAC,pnr,last,AUBRAC+ISA_CSR_CNT,AUBRAC,,,vivado,standard,,CSR_CNT,,,,,,,,,,,218.0,2047,1.0,1777,0.44,3824,32,7.19,0,0.0,0.16,0.036,0.196,0.11,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,AUBRAC,pnr,last,AUBRAC+ISA_CSR_CNT_ZBS,AUBRAC,,,vivado,standard,,CSR_CNT_ZBS,,,,,,,,,,,214.0,2163,1.06,1778,0.44,3941,32,7.19,0,0.0,0.16,0.034,0.194,0.131,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,AUBRAC,pnr,last,AUBRAC+ISA_FULL,AUBRAC,,,vivado,standard,,FULL,,,,,,,,,,,218.0,2172,1.07,1783,0.44,3955,32,7.19,0,0.0,0.16,0.033,0.193,0.118,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,AUBRAC,pnr,last,AUBRAC+ISA_I,AUBRAC,,,vivado,standard,,I,,,,,,,,,,,222.0,1707,0.84,1337,0.33,3044,32,7.19,0,0.0,0.16,0.03,0.19,0.196,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,AUBRAC,pnr,last,AUBRAC+Pipeline_alu,AUBRAC,,,vivado,standard,,,alu,,,,,,,,,,215.0,2170,1.06,1816,0.45,3986,32,7.19,0,0.0,0.16,0.032,0.192,0.03,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,AUBRAC,pnr,last,AUBRAC+Pipeline_alu_bcu,AUBRAC,,,vivado,standard,,,alu_bcu,,,,,,,,,,219.0,2207,1.08,1849,0.45,4056,32,7.19,0,0.0,0.16,0.039,0.199,0.136,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,AUBRAC,pnr,last,AUBRAC+Pipeline_base,AUBRAC,,,vivado,standard,,,base,,,,,,,,,,218.0,2172,1.07,1783,0.44,3955,32,7.19,0,0.0,0.16,0.033,0.193,0.118,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,AUBRAC,pnr,last,AUBRAC+Pipeline_bcu,AUBRAC,,,vivado,standard,,,bcu,,,,,,,,,,211.0,2167,1.06,1816,0.45,3983,32,7.19,0,0.0,0.16,0.034,0.194,0.15,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,AUBRAC,pnr,last,AUBRAC+Pipeline_no_stages,AUBRAC,,,vivado,standard,,,no_stages,,,,,,,,,,9.0,2549,1.25,1264,0.31,3813,32,7.19,0,0.0,0.16,0.001,0.161,3.757,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,AsteRISC,pnr,last,AsteRISC+Baseline_E+MUL_Basic,AsteRISC,E,Basic,vivado,standard,,,,,,,,,,,,,133.0,2535,1.24,1079,0.26,3614,32,7.19,0,0.0,0.16,0.017,0.177,0.075,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,AsteRISC,pnr,last,AsteRISC+Baseline_E+MUL_Off,AsteRISC,E,Off,vivado,standard,,,,,,,,,,,,,153.0,1819,0.89,941,0.23,2760,32,7.19,0,0.0,0.16,0.019,0.179,0.016,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,AsteRISC,pnr,last,AsteRISC+Baseline_E+MUL_Single_cycle,AsteRISC,E,Single_cycle,vivado,standard,,,,,,,,,,,,,110.0,2300,1.13,1083,0.27,3383,32,7.19,4,0.48,0.16,0.012,0.172,0.181,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,AsteRISC,pnr,last,AsteRISC+Baseline_I+MUL_Basic,AsteRISC,I,Basic,vivado,standard,,,,,,,,,,,,,128.0,2527,1.24,1079,0.26,3606,32,7.19,0,0.0,0.16,0.015,0.175,0.216,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,AsteRISC,pnr,last,AsteRISC+Baseline_I+MUL_Fast,AsteRISC,I,Fast,vivado,standard,,,,,,,,,,,,,138.0,2415,1.18,1082,0.27,3497,32,7.19,1,0.12,0.16,0.017,0.177,0.173,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,AsteRISC,pnr,last,AsteRISC+Baseline_I+MUL_Off,AsteRISC,I,Off,vivado,standard,,,,,,,,,,,,,143.0,1813,0.89,940,0.23,2753,32,7.19,0,0.0,0.16,0.016,0.176,0.036,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,AsteRISC,pnr,last,AsteRISC+Baseline_I+MUL_Single_cycle,AsteRISC,I,Single_cycle,vivado,standard,,,,,,,,,,,,,109.0,2298,1.13,1084,0.27,3382,32,7.19,4,0.48,0.16,0.012,0.172,0.114,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,AsteRISC,pnr,last,AsteRISC+Pipeline_P-IF1IC1ID1RF1EX1MA1WB1,AsteRISC,,,vivado,standard,,,P-IF1IC1ID1RF1EX1MA1WB1,,,,,,,,,,164.0,1938,0.95,1630,0.4,3568,32,7.19,0,0.0,0.16,0.023,0.183,0.001,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,AsteRISC,pnr,last,AsteRISC+Pipeline_P-IF1ID1EX1MA1WB1,AsteRISC,,,vivado,standard,,,P-IF1ID1EX1MA1WB1,,,,,,,,,,156.0,2008,0.99,1296,0.32,3304,32,7.19,0,0.0,0.16,0.022,0.182,0.058,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,AsteRISC,pnr,last,AsteRISC+Pipeline_P-IF1ID1EX1MA1WB1+Baseline_E+MUL_Basic,AsteRISC,E,Basic,vivado,standard,,,P-IF1ID1EX1MA1WB1,,,,,,,,,,135.0,2746,1.35,1504,0.37,4250,32,7.19,0,0.0,0.16,0.021,0.181,0.031,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,AsteRISC,pnr,last,AsteRISC+Pipeline_P-IF1ID1EX1MA1WB1+Baseline_E+MUL_Fast,AsteRISC,E,Fast,vivado,standard,,,P-IF1ID1EX1MA1WB1,,,,,,,,,,134.0,2594,1.27,1506,0.37,4100,32,7.19,1,0.12,0.16,0.019,0.179,0.198,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,AsteRISC,pnr,last,AsteRISC+Pipeline_P-IF1ID1EX1MA1WB1+Baseline_E+MUL_Off,AsteRISC,E,Off,vivado,standard,,,P-IF1ID1EX1MA1WB1,,,,,,,,,,164.0,2020,0.99,1296,0.32,3316,32,7.19,0,0.0,0.16,0.022,0.182,0.008,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,AsteRISC,pnr,last,AsteRISC+Pipeline_P-IF1ID1EX1MA1WB1+Baseline_E+MUL_Single_cycle,AsteRISC,E,Single_cycle,vivado,standard,,,P-IF1ID1EX1MA1WB1,,,,,,,,,,111.0,2538,1.25,1528,0.37,4066,32,7.19,4,0.48,0.16,0.016,0.176,0.004,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,AsteRISC,pnr,last,AsteRISC+Pipeline_P-IF1ID1EX1MA1WB1+Baseline_I+MUL_Basic,AsteRISC,I,Basic,vivado,standard,,,P-IF1ID1EX1MA1WB1,,,,,,,,,,141.0,2764,1.36,1504,0.37,4268,32,7.19,0,0.0,0.16,0.022,0.182,0.05,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,AsteRISC,pnr,last,AsteRISC+Pipeline_P-IF1ID1EX1MA1WB1+Baseline_I+MUL_Fast,AsteRISC,I,Fast,vivado,standard,,,P-IF1ID1EX1MA1WB1,,,,,,,,,,136.0,2583,1.27,1506,0.37,4089,32,7.19,1,0.12,0.16,0.02,0.18,0.121,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,AsteRISC,pnr,last,AsteRISC+Pipeline_P-IF1ID1EX1MA1WB1+Baseline_I+MUL_Off,AsteRISC,I,Off,vivado,standard,,,P-IF1ID1EX1MA1WB1,,,,,,,,,,156.0,2008,0.99,1296,0.32,3304,32,7.19,0,0.0,0.16,0.022,0.182,0.058,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,AsteRISC,pnr,last,AsteRISC+Pipeline_P-IF1ID1EX1MA1WB1+Baseline_I+MUL_Single_cycle,AsteRISC,I,Single_cycle,vivado,standard,,,P-IF1ID1EX1MA1WB1,,,,,,,,,,109.0,2558,1.26,1516,0.37,4074,32,7.19,4,0.48,0.16,0.016,0.176,0.009,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,AsteRISC,pnr,last,AsteRISC+Pipeline_P-IF1ID1EX2MA1WB1,AsteRISC,,,vivado,standard,,,P-IF1ID1EX2MA1WB1,,,,,,,,,,159.0,2105,1.03,1440,0.35,3545,32,7.19,0,0.0,0.16,0.023,0.183,0.241,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,AsteRISC,pnr,last,AsteRISC+Pipeline_P-IF1ID1RF1EX3MA2WB1,AsteRISC,,,vivado,standard,,,P-IF1ID1RF1EX3MA2WB1,,,,,,,,,,155.0,2246,1.1,1927,0.47,4173,32,7.19,0,0.0,0.16,0.026,0.186,0.008,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,AsteRISC,pnr,last,AsteRISC+Pipeline_P-IF1MA1,AsteRISC,,,vivado,standard,,,P-IF1MA1,,,,,,,,,,136.0,1876,0.92,978,0.24,2854,32,7.19,0,0.0,0.16,0.014,0.174,0.08,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,AsteRISC,pnr,last,AsteRISC+Pipeline_P-IF3ID1EX1MA1WB1,AsteRISC,,,vivado,standard,,,P-IF3ID1EX1MA1WB1,,,,,,,,,,161.0,1952,0.96,1490,0.37,3442,32,7.19,0,0.0,0.16,0.024,0.184,0.223,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,CV32E40P,pnr,last,P,P,,,vivado,standard,,,,,,,,,,,,,91.0,7682,3.77,3235,0.79,10917,32,7.19,7,0.83,0.16,0.027,0.187,0.048,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,CV32E40P,pnr,last,P_F0,P_F0,,,vivado,standard,,,,,,,,,,,,,41.0,13808,6.78,4764,1.17,18572,32,7.19,9,1.07,0.16,0.017,0.177,0.536,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,CV32E40P,pnr,last,P_F1,P_F1,,,vivado,standard,,,,,,,,,,,,,47.0,13755,6.75,4887,1.2,18642,32,7.19,9,1.07,0.16,0.019,0.179,0.03,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,CV32E40P,pnr,last,P_F2,P_F2,,,vivado,standard,,,,,,,,,,,,,48.0,13749,6.75,5027,1.23,18776,32,7.19,9,1.07,0.16,0.058,0.218,0.252,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,CV32E40P,pnr,last,P_Z0,P_Z0,,,vivado,standard,,,,,,,,,,,,,41.0,13808,6.78,4764,1.17,18572,32,7.19,9,1.07,0.16,0.017,0.177,0.536,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,CV32E40P,pnr,last,P_Z1,P_Z1,,,vivado,standard,,,,,,,,,,,,,46.0,12068,5.92,3845,0.94,15913,32,7.19,9,1.07,0.16,0.049,0.209,0.199,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,CV32E40P,pnr,last,P_Z2,P_Z2,,,vivado,standard,,,,,,,,,,,,,48.0,12150,5.96,3924,0.96,16074,32,7.19,9,1.07,0.16,0.02,0.18,0.07,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,CVA6,pnr,last,Base,Base,,,vivado,standard,,,,,,,,,,,,,71.0,22847,11.21,16199,3.97,39046,39,8.76,4,0.48,0.161,0.078,0.239,0.266,2026-09-14_14-07-46,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,CVA6,pnr,last,CVA6+ISA_C0+Cache_Cache_L,CVA6,,,vivado,standard,,C0,,Cache_L,,,,,,,,,70.0,53503,26.25,90587,22.22,144090,42,9.44,4,0.48,0.162,0.165,0.327,0.085,2026-09-14_14-07-46,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,CVA6,pnr,last,CVA6+ISA_C0+Cache_Cache_M,CVA6,,,vivado,standard,,C0,,Cache_M,,,,,,,,,71.0,36229,17.78,51406,12.61,87635,42,9.44,4,0.48,0.161,0.126,0.287,0.074,2026-09-14_14-07-46,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,CVA6,pnr,last,CVA6+ISA_C0+Cache_Cache_XL,CVA6,,,vivado,standard,,C0,,Cache_XL,,,,,,,,,72.0,85411,41.91,169784,41.65,255195,48,10.79,4,0.48,0.162,0.26,0.422,0.138,2026-09-14_14-07-46,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,CVA6,pnr,last,CVA6+ISA_C1+Cache_Cache_L,CVA6,,,vivado,standard,,C1,,Cache_L,,,,,,,,,69.0,52235,25.63,90837,22.29,143072,42,9.44,4,0.48,0.162,0.175,0.337,0.232,2026-09-14_14-07-46,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,CVA6,pnr,last,CVA6+ISA_C1+Cache_Cache_M,CVA6,,,vivado,standard,,C1,,Cache_M,,,,,,,,,73.0,38556,18.92,51695,12.68,90251,42,9.44,4,0.48,0.161,0.138,0.299,0.033,2026-09-14_14-07-46,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,CVA6,pnr,last,CVA6+ISA_C1+Cache_Cache_XL,CVA6,,,vivado,standard,,C1,,Cache_XL,,,,,,,,,70.0,86643,42.51,170120,41.74,256763,48,10.79,4,0.48,0.162,0.262,0.424,0.229,2026-09-14_14-07-46,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,CVA6,pnr,last,CVA6+LoadBuff_LBUF16,CVA6,,,vivado,standard,,,,,LBUF16,,,,,,,,71.0,25067,12.3,21513,5.28,46580,39,8.76,4,0.48,0.161,0.09,0.251,0.032,2026-09-14_14-07-46,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,CVA6,pnr,last,CVA6+LoadBuff_LBUF4,CVA6,,,vivado,standard,,,,,LBUF4,,,,,,,,71.0,25067,12.3,21513,5.28,46580,39,8.76,4,0.48,0.161,0.09,0.251,0.032,2026-09-14_14-07-46,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,CVA6,pnr,last,CVA6+PMP_PMP16,CVA6,,,vivado,standard,,,,,,PMP16,,,,,,,72.0,28531,14.0,21923,5.38,50454,39,8.76,4,0.48,0.161,0.098,0.259,0.066,2026-09-14_14-07-46,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,CVA6,pnr,last,CVA6+PMP_PMP4,CVA6,,,vivado,standard,,,,,,PMP4,,,,,,,72.0,25040,12.29,21338,5.24,46378,39,8.76,4,0.48,0.161,0.091,0.252,0.017,2026-09-14_14-07-46,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,CVA6,pnr,last,CVA6+Pipeline_Pipe_base,CVA6,,,vivado,standard,,,Pipe_base,,,,,,,,,,72.0,25044,12.29,21390,5.25,46434,39,8.76,4,0.48,0.161,0.09,0.251,0.221,2026-09-14_14-07-46,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,CVA6,pnr,last,CVA6+Pipeline_Pipe_load,CVA6,,,vivado,standard,,,Pipe_load,,,,,,,,,,71.0,25021,12.28,21389,5.25,46410,39,8.76,4,0.48,0.161,0.091,0.252,0.195,2026-09-14_14-07-46,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,CVA6,pnr,last,CVA6+Pipeline_Pipe_more,CVA6,,,vivado,standard,,,Pipe_more,,,,,,,,,,71.0,25003,12.27,21443,5.26,46446,39,8.76,4,0.48,0.161,0.094,0.255,0.114,2026-09-14_14-07-46,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,CVA6,pnr,last,CVA6+Pipeline_Pipe_off,CVA6,,,vivado,standard,,,Pipe_off,,,,,,,,,,72.0,25040,12.29,21338,5.24,46378,39,8.76,4,0.48,0.161,0.091,0.252,0.017,2026-09-14_14-07-46,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,CVA6,pnr,last,CVA6+SB_SB0,CVA6,,,vivado,standard,,,,,,,SB0,,,,,,73.0,24343,11.94,20889,5.12,45232,39,8.76,4,0.48,0.161,0.089,0.25,0.078,2026-09-14_14-07-46,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,CVA6,pnr,last,CVA6+SB_SB16,CVA6,,,vivado,standard,,,,,,,SB16,,,,,,69.0,28868,14.16,23198,5.69,52066,39,8.76,4,0.48,0.161,0.093,0.254,0.211,2026-09-14_14-07-46,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,NEORV32,pnr,last,NEORV32+BitManip_B_full,NEORV32,,,vivado,standard,,,,,,,,B_full,,,,,275.0,1738,0.85,1419,0.35,3157,32,7.19,0,0.0,0.16,0.033,0.193,0.084,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,NEORV32,pnr,last,NEORV32+BitManip_Basic,NEORV32,,,vivado,standard,,,,,,,,Basic,,,,,273.0,1678,0.82,1347,0.33,3025,32,7.19,0,0.0,0.16,0.03,0.19,0.018,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,NEORV32,pnr,last,NEORV32+ISA_E,NEORV32,,,vivado,standard,,E,,,,,,,,,,,272.0,1328,0.65,1190,0.29,2518,32,7.19,0,0.0,0.16,0.024,0.184,0.079,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,NEORV32,pnr,last,NEORV32+ISA_I,NEORV32,,,vivado,standard,,I,,,,,,,,,,,278.0,1326,0.65,1190,0.29,2516,32,7.19,0,0.0,0.16,0.029,0.189,0.004,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,NEORV32,pnr,last,NEORV32+ISA_IC,NEORV32,,,vivado,standard,,IC,,,,,,,,,,,258.0,1467,0.72,1209,0.3,2676,32,7.19,0,0.0,0.16,0.035,0.195,0.039,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,NEORV32,pnr,last,NEORV32+ISA_IM,NEORV32,,,vivado,standard,,IM,,,,,,,,,,,263.0,1633,0.8,1362,0.33,2995,32,7.19,0,0.0,0.16,0.031,0.191,0.015,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,NEORV32,pnr,last,NEORV32+ISA_IM+MicroArch_FastMul,NEORV32,,,vivado,standard,,IM,,,,,,,FastMul,,,,268.0,1749,0.86,1357,0.33,3106,32,7.19,0,0.0,0.16,0.033,0.193,0.034,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,NEORV32,pnr,last,NEORV32+ISA_IM+MicroArch_FastMulShift,NEORV32,,,vivado,standard,,IM,,,,,,,FastMulShift,,,,268.0,1749,0.86,1357,0.33,3106,32,7.19,0,0.0,0.16,0.033,0.193,0.034,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,NEORV32,pnr,last,NEORV32+ISA_IM+MicroArch_FastShift,NEORV32,,,vivado,standard,,IM,,,,,,,FastShift,,,,268.0,1749,0.86,1357,0.33,3106,32,7.19,0,0.0,0.16,0.033,0.193,0.034,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,NEORV32,pnr,last,NEORV32+ISA_IMC,NEORV32,,,vivado,standard,,IMC,,,,,,,,,,,263.0,1857,0.91,1381,0.34,3238,32,7.19,0,0.0,0.16,0.03,0.19,0.045,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,NEORV32,pnr,last,NEORV32+ISA_IMCU,NEORV32,,,vivado,standard,,IMCU,,,,,,,,,,,264.0,1896,0.93,1385,0.34,3281,32,7.19,0,0.0,0.16,0.031,0.191,0.071,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,NEORV32,pnr,last,NEORV32+ISA_IZmmul,NEORV32,,,vivado,standard,,IZmmul,,,,,,,,,,,258.0,1392,0.68,1263,0.31,2655,32,7.19,0,0.0,0.16,0.029,0.189,0.105,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,NEORV32,pnr,last,NEORV32+PMP_PMP16,NEORV32,,,vivado,standard,,,,,,PMP16,,,,,,,198.0,3005,1.47,2249,0.55,5254,32,7.19,0,0.0,0.16,0.034,0.194,0.032,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,NEORV32,pnr,last,NEORV32+PMP_PMP2,NEORV32,,,vivado,standard,,,,,,PMP2,,,,,,,253.0,1548,0.76,1324,0.32,2872,32,7.19,0,0.0,0.16,0.029,0.189,0.115,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,NEORV32,pnr,last,NEORV32+PMP_PMP8,NEORV32,,,vivado,standard,,,,,,PMP8,,,,,,,237.0,2260,1.11,1735,0.43,3995,32,7.19,0,0.0,0.16,0.031,0.191,0.004,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,PICORV32,pnr,last,PICORV32+ISA_I+MulDiv_Div,PICORV32,,,vivado,standard,,I,,,,,,,,Div,,,250.0,1439,0.71,1176,0.29,2615,32,7.19,0,0.0,0.16,0.04,0.2,0.063,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,PICORV32,pnr,last,PICORV32+ISA_I+MulDiv_Mul,PICORV32,,,vivado,standard,,I,,,,,,,,Mul,,,255.0,1329,0.65,1231,0.3,2560,32,7.19,0,0.0,0.16,0.044,0.204,0.012,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,PICORV32,pnr,last,PICORV32+ISA_I+MulDiv_MulDiv,PICORV32,,,vivado,standard,,I,,,,,,,,MulDiv,,,248.0,1677,0.82,1431,0.35,3108,32,7.19,0,0.0,0.16,0.049,0.209,0.098,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,PICORV32,pnr,last,PICORV32+ISA_I+MulDiv_MulFast,PICORV32,,,vivado,standard,,I,,,,,,,,MulFast,,,249.0,1190,0.58,1013,0.25,2203,32,7.19,4,0.48,0.16,0.049,0.209,0.04,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,PICORV32,pnr,last,PICORV32+ISA_I+MulDiv_Off,PICORV32,,,vivado,standard,,I,,,,,,,,Off,,,248.0,1059,0.52,952,0.23,2011,32,7.19,0,0.0,0.16,0.032,0.192,0.108,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,PICORV32,pnr,last,PICORV32+ISA_I+RegisterFile_DualPort,PICORV32,,,vivado,standard,,I,,,,,,,,,DualPort,,252.0,1082,0.53,961,0.24,2043,32,7.19,0,0.0,0.16,0.034,0.194,0.116,2026-09-15_10-35-52,1.0,True
